"","year","month","day","n"
"1048",2016,8,3,205
"1049",2016,8,4,138
"1050",2016,8,5,257
"1051",2016,8,6,329
"1052",2016,8,7,279
"1053",2016,8,8,301
"1054",2016,8,9,119
"1055",2016,8,10,211
"1056",2016,8,11,181
"1057",2016,8,12,127
"1058",2016,8,13,417
"1059",2016,8,14,398
"1060",2016,8,15,143
"1061",2016,8,16,271
"1062",2016,8,17,174
"1063",2016,8,18,174
"1064",2016,8,19,262
"1065",2016,8,20,272
"1066",2016,8,21,425
"1067",2016,8,22,242
"1068",2016,8,23,202
"1069",2016,8,24,131
"1070",2016,8,25,147
"1071",2016,8,26,357
"1072",2016,8,27,265
"1073",2016,8,28,296
"1074",2016,8,29,191
"1075",2016,8,30,124
"1076",2016,8,31,173
"1077",2016,9,1,172
"1078",2016,9,2,290
"1079",2016,9,3,562
"1080",2016,9,4,649
"1081",2016,9,5,596
"1082",2016,9,6,222
"1083",2016,9,7,89
"1084",2016,9,8,117
"1085",2016,9,9,180
"1086",2016,9,10,307
"1087",2016,9,11,403
"1088",2016,9,12,182
"1089",2016,9,13,135
"1090",2016,9,14,159
"1091",2016,9,15,162
"1092",2016,9,16,176
"1093",2016,9,17,413
"1094",2016,9,18,466
"1095",2016,9,19,322
"1096",2016,9,20,156
"1097",2016,9,21,79
"1098",2016,9,22,199
"1099",2016,9,23,153
"1100",2016,9,24,426
"1101",2016,9,25,319
"1102",2016,9,26,161
"1103",2016,9,27,122
"1104",2016,9,28,23
"1105",2016,9,29,33
"1106",2016,9,30,70
"1107",2016,10,1,123
"1108",2016,10,2,271
"1109",2016,10,3,154
"1110",2016,10,4,129
"1111",2016,10,5,150
"1112",2016,10,6,47
"1113",2016,10,7,231
"1114",2016,10,8,371
"1115",2016,10,9,270
"1116",2016,10,10,283
"1117",2016,10,11,150
"1118",2016,10,12,25
"1119",2016,10,13,131
"1120",2016,10,14,156
"1121",2016,10,15,270
"1122",2016,10,16,164
"1123",2016,10,17,164
"1124",2016,10,18,127
"1125",2016,10,19,96
"1126",2016,10,20,37
"1127",2016,10,21,90
"1128",2016,10,22,196
"1129",2016,10,23,301
"1130",2016,10,24,116
"1131",2016,10,25,44
"1132",2016,10,26,3
"1133",2016,10,27,53
"1134",2016,10,28,136
"1135",2016,10,29,286
"1136",2016,10,30,114
"1137",2016,10,31,110
"1138",2016,11,1,114
"1139",2016,11,2,17
"1140",2016,11,3,93
"1141",2016,11,4,159
"1142",2016,11,5,396
"1143",2016,11,6,296
"1144",2016,11,7,126
"1145",2016,11,8,51
"1146",2016,11,9,44
"1147",2016,11,10,55
"1148",2016,11,11,46
"1149",2016,11,12,160
