"","year","month","day","n"
"772",2015,10,26,93
"773",2015,10,27,29
"774",2015,10,28,11
"775",2015,10,29,16
"776",2015,10,30,87
"777",2015,10,31,10
"778",2015,11,1,167
"779",2015,11,2,142
"780",2015,11,3,82
"781",2015,11,4,93
"782",2015,11,5,63
"783",2015,11,6,69
"784",2015,11,7,132
"785",2015,11,8,119
"786",2015,11,9,69
"787",2015,11,10,37
"788",2015,11,11,43
"789",2015,11,12,17
"790",2015,11,13,19
"791",2015,11,14,92
"792",2015,11,15,176
"793",2015,11,16,21
"794",2015,11,17,4
"795",2015,11,18,14
"796",2015,11,19,7
"797",2015,11,20,18
"798",2015,11,21,1
"799",2015,11,22,7
"800",2015,11,23,6
"801",2015,11,24,9
"802",2015,11,25,28
"803",2015,11,26,28
"804",2015,11,28,32
"805",2015,11,29,26
"806",2015,11,30,3
"807",2015,12,1,5
"808",2015,12,2,4
"809",2015,12,3,6
"810",2015,12,4,7
"811",2015,12,5,22
"812",2015,12,6,29
"813",2015,12,7,7
"814",2015,12,8,10
"815",2015,12,9,17
"816",2015,12,10,19
"817",2015,12,11,34
"818",2015,12,12,21
"819",2015,12,13,20
"820",2015,12,14,3
"821",2015,12,15,12
"822",2015,12,16,17
"823",2015,12,17,10
"824",2015,12,18,4
"825",2015,12,19,7
"826",2015,12,20,25
"827",2015,12,21,5
"828",2015,12,22,6
"829",2015,12,23,4
"830",2015,12,24,16
"831",2015,12,25,33
"832",2015,12,26,6
"833",2015,12,27,2
"834",2015,12,29,2
"835",2015,12,30,3
"836",2015,12,31,3
"837",2016,1,1,6
"838",2016,1,2,10
"839",2016,1,3,12
"840",2016,1,4,2
"841",2016,1,5,4
"842",2016,1,6,4
"843",2016,1,7,5
"844",2016,1,8,3
"845",2016,1,9,3
"846",2016,1,10,2
"847",2016,1,14,2
"848",2016,1,15,4
"849",2016,1,16,14
"850",2016,1,17,4
"851",2016,1,18,1
"852",2016,1,19,3
"853",2016,1,20,2
"854",2016,1,21,2
"855",2016,1,22,2
"856",2016,1,23,7
"857",2016,1,24,6
"858",2016,1,25,5
"859",2016,1,26,8
"860",2016,1,27,2
"861",2016,1,28,5
"862",2016,1,29,9
"863",2016,1,30,66
"864",2016,1,31,13
"865",2016,2,1,5
"866",2016,2,2,4
"867",2016,2,3,4
"868",2016,2,4,7
"869",2016,2,5,12
"870",2016,2,6,61
"871",2016,2,7,25
"872",2016,2,8,11
"873",2016,2,9,1
"874",2016,2,10,2
"875",2016,2,11,3
"876",2016,2,12,3
"877",2016,2,13,3
"878",2016,2,15,2
"879",2016,2,17,7
"880",2016,2,18,5
"881",2016,2,19,38
"882",2016,2,20,293
"883",2016,2,21,25
"884",2016,2,22,15
"885",2016,2,23,14
"886",2016,2,25,1
"887",2016,2,26,7
"888",2016,2,27,107
"889",2016,2,28,105
"890",2016,2,29,17
"891",2016,3,2,1
"892",2016,3,3,2
